,ID,Brand,Category,Gender,Name,Image URL,Price
1065,51.0,BOSS,T-Shirts,Mens,Logo T-shirt in pure cotton with liquid finishing,https://images.hugoboss.com/is/image/boss/hbeu50333808_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1066,52.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in stretch cotton with layered logo,https://images.hugoboss.com/is/image/boss/hbeu50418749_689_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1067,53.0,BOSS,T-Shirts,Mens,Cotton-jersey T-shirt with leaf graphic in mixed prints,https://images.hugoboss.com/is/image/boss/hbeu50452942_100_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1068,54.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in paper-touch cotton with logo,https://images.hugoboss.com/is/image/boss/hbeu50452920_100_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 900.00Price
1069,55.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in mercerised cotton with logo print,https://images.hugoboss.com/is/image/boss/hbeu50453284_100_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,"HK$ 1,150.00Price"
1070,56.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in pure cotton with bleach spray,https://images.hugoboss.com/is/image/boss/hbeu50450094_001_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1071,57.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in organic cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457641_404_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1072,58.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in stretch cotton with layered logo,https://images.hugoboss.com/is/image/boss/hbeu50418749_224_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1073,59.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in stretch cotton with layered logo,https://images.hugoboss.com/is/image/boss/hbeu50418749_428_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1074,60.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in mercerised cotton with logo print,https://images.hugoboss.com/is/image/boss/hbeu50453284_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,"HK$ 1,150.00Price"
