ID,Brand,Category,Gender,Name,Image URL,Price
102.0,Brooks Brothers,Suits,Men,Regent Fit Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01060_NAVY,
103.0,Brooks Brothers,Suits,Men,Milano Fit Two-Button Grey 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01061_GREY,
0.0,Brooks Brothers,Dresses,,Floral-Print Cotton Sateen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00024_NAVY-WHITE,
1.0,Brooks Brothers,Dresses,,Cotton Sateen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00023_RED,
2.0,Brooks Brothers,Dresses,,Floral Jacquard Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00030_WHITE-BLACK,
3.0,Brooks Brothers,Dresses,,Linen Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00040_LIGHT-BEIGE,
4.0,Brooks Brothers,Dresses,,Floral-Print Stretch Cotton Sateen Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00038_WHITE,
5.0,Brooks Brothers,Dresses,,Striped Seersucker Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00042_BLUE-WHITE,
6.0,Brooks Brothers,Dresses,,Striped Ponte-Knit Shift Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00036_NAVY-WHITE,
7.0,Brooks Brothers,Dresses,,Fringe-Trimmed Boucle Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00292_WHITE,
8.0,Brooks Brothers,Dresses,,Floral-Embroidered Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00604_RED-WHITE,
9.0,Brooks Brothers,Dresses,,Pintucked Cotton Taffeta Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00616_BURNT-ORANGE,
10.0,Brooks Brothers,Dresses,,Floral-Print Cotton Poplin Shirt Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/LX00044_WHITE,
11.0,Brooks Brothers,Dresses,,Wool Sheath Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00441_BLACK,
12.0,Brooks Brothers,Dresses,,Ponte Knit Button-Detail A-Line Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/SX00328_NAVY,
13.0,Brooks Brothers,Dresses,,Floral-Print Silk Georgette Dress,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/WX00614_BEIGE-MULTI,
